service,request_rate_rps,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,cpu_usage_pct,memory_usage_mb,delta_rps,delta_p95_latency_ms,delta_cpu_usage_pct,sla_violated,pattern
1,4.836364,0.0,7.882,23.647,36.7,2.145455,326.227,0.090909,1.613,0.127273,0,constant
0,8.818182,0.0,2.5,4.75,4.95,0.854545,17.438,2.345455,-0.036,0.127273,0,constant
2,27.327273,0.0,3.85,33.201,49.717,6.96924,91.103,5.254545,-13.185,1.323707,0,constant
3,0.581818,0.0,17.5,24.25,24.85,0.927273,316.207,0.181818,-36.375,0.054545,0,constant
6,5.890909,0.0,2.5,4.75,4.95,0.818182,20.262,-0.145455,-0.072,-0.018182,0,constant
4,1.690909,0.0,2.5,4.75,4.95,0.145455,15.586,0.127273,0.0,0.0,0,constant
5,0.636364,0.0,2.5,4.75,4.95,0.236364,296.266,0.054545,0.0,0.018182,0,constant
1,4.927273,0.0,8.045,23.718,36.45,2.127273,326.227,0.090909,0.071,-0.018182,0,constant
0,8.290909,0.0,2.5,4.75,4.95,0.8,17.438,-0.527273,0.0,-0.054545,0,constant
2,27.272727,0.0,3.769,32.184,49.425,6.798576,87.955,-0.054545,-1.017,-0.170664,0,constant
3,0.654545,0.0,17.5,24.25,24.85,0.890909,316.207,0.072727,0.0,-0.036364,0,constant
6,5.890909,0.0,2.5,4.75,4.95,0.836364,20.262,0.0,-0.0,0.018182,0,constant
4,1.709091,0.0,2.5,4.75,4.95,0.163636,15.586,0.018182,0.0,0.018182,0,constant
5,0.6,0.0,2.5,4.75,4.95,0.254545,296.266,-0.036364,0.0,0.018182,0,constant
1,4.218182,0.0,8.235,23.253,24.773,2.0,326.227,-0.709091,-0.465,-0.127273,0,constant
0,8.290909,0.0,2.511,4.771,4.972,0.836364,17.438,0.0,0.021,0.036364,0,constant
2,26.854545,0.0,3.734,28.519,63.458,7.65023,86.517,-0.418182,-3.665,0.851654,0,constant
3,0.545455,0.0,17.5,24.25,24.85,0.818182,316.207,-0.109091,0.0,-0.072727,0,constant
6,5.127273,0.0,2.5,4.75,4.95,0.8,20.262,-0.763636,0.0,-0.036364,0,constant
4,1.581818,0.0,2.5,4.75,4.95,0.145455,15.586,-0.127273,0.0,-0.018182,0,constant
5,0.709091,0.0,2.5,4.75,4.95,0.290909,296.266,0.109091,0.0,0.036364,0,constant
1,4.472727,0.0,7.378,22.854,24.742,2.018182,326.227,0.254545,-0.398,0.018182,0,constant
0,8.436364,0.0,2.516,4.781,4.982,0.872727,17.438,0.145455,0.01,0.036364,0,constant
2,27.145455,0.066979,3.868,31.284,69.5,7.055196,89.912,0.290909,2.765,-0.595034,0,constant
3,0.709091,0.0,17.5,24.25,24.85,0.890909,316.207,0.163636,0.0,0.072727,0,constant
6,5.672727,0.0,2.508,4.764,4.965,0.836364,20.262,0.545455,0.014,0.036364,0,constant
4,1.654545,0.0,2.5,4.75,4.95,0.145455,15.586,0.072727,0.0,0.0,0,constant
5,0.8,0.0,2.5,4.75,4.95,0.290909,296.266,0.090909,0.0,0.0,0,constant
1,4.963636,0.0,7.098,22.619,24.524,2.072727,326.227,0.490909,-0.235,0.054545,0,constant
0,8.981818,0.0,2.51,4.769,4.97,0.927273,17.438,0.545455,-0.012,0.054545,0,constant
2,27.490909,0.066138,4.082,33.837,63.556,7.678122,87.051,0.345455,2.553,0.622925,0,constant
3,0.8,0.0,17.5,24.25,24.85,0.927273,316.207,0.090909,0.0,0.036364,0,constant
6,6.763636,0.0,2.507,4.764,4.964,0.854545,20.262,1.090909,-0.001,0.018182,0,constant
4,1.836364,0.0,2.5,4.75,4.95,0.163636,15.586,0.181818,0.0,0.018182,0,constant
5,0.745455,0.0,2.5,4.75,4.95,0.254545,296.266,-0.054545,0.0,-0.036364,0,constant
1,5.163636,0.0,7.772,22.891,24.578,2.072727,326.227,0.2,0.272,0.0,0,constant
0,9.090909,0.0,2.505,4.76,4.96,0.909091,17.438,0.109091,-0.01,-0.018182,0,constant
2,27.290909,0.0,3.938,30.279,47.938,7.572,90.752,-0.2,-3.558,-0.106122,0,constant
3,0.745455,0.0,17.5,24.25,24.85,0.981818,316.207,-0.054545,0.0,0.054545,0,constant
6,6.327273,0.0,2.5,4.765,4.966,0.818182,20.262,-0.436364,0.001,-0.036364,0,constant
4,1.727273,0.0,2.5,4.75,4.95,0.181818,15.586,-0.109091,-0.0,0.018182,0,constant
5,0.890909,0.0,2.5,4.75,4.95,0.272727,296.266,0.145455,0.0,0.018182,0,constant
1,5.363636,0.0,7.472,22.852,24.57,2.163636,326.227,0.2,-0.039,0.090909,0,constant
0,9.2,0.0,2.505,4.759,4.96,0.909091,17.438,0.109091,-0.0,0.0,0,constant
2,27.436364,0.066269,3.992,32.395,56.821,7.802185,89.71,0.145455,2.115,0.230185,0,constant
3,0.854545,0.0,17.5,24.25,24.85,1.036364,316.207,0.109091,0.0,0.054545,0,constant
6,6.981818,0.0,2.507,4.763,4.964,0.909091,20.262,0.654545,-0.002,0.090909,0,constant
4,1.836364,0.0,2.5,4.75,4.95,0.163636,15.586,0.109091,0.0,-0.018182,0,constant
5,0.872727,0.0,2.5,4.75,4.95,0.290909,296.266,-0.018182,-0.0,0.018182,0,constant
1,5.0,0.0,7.154,22.545,24.509,2.0,326.227,-0.363636,-0.307,-0.163636,0,constant
0,8.672727,0.0,2.505,4.76,4.961,0.836364,17.438,-0.527273,0.001,-0.072727,0,constant
2,27.218182,0.0,3.862,32.187,50.15,7.579149,88.966,-0.218182,-0.207,-0.223036,0,constant
3,0.836364,0.0,17.5,24.25,24.85,0.945455,316.207,-0.018182,0.0,-0.090909,0,constant
6,6.763636,0.0,2.5,4.75,4.95,0.854545,20.262,-0.218182,-0.013,-0.054545,0,constant
4,1.763636,0.0,2.5,4.75,4.95,0.163636,15.586,-0.072727,-0.0,0.0,0,constant
5,0.8,0.0,2.5,4.75,4.95,0.290909,296.266,-0.072727,0.0,-0.0,0,constant
1,5.018182,0.0,7.473,22.867,24.707,2.163636,326.23,0.018182,0.322,0.163636,0,constant
0,8.672727,0.0,2.5,4.75,4.95,0.854545,17.438,0.0,-0.01,0.018182,0,constant
2,27.345455,0.0,3.872,32.0,49.694,7.347473,89.184,0.127273,-0.187,-0.231676,0,constant
3,0.836364,0.0,17.5,24.25,24.85,0.872727,316.211,0.0,0.0,-0.072727,0,constant
6,6.218182,0.0,2.5,4.75,4.95,0.818182,20.262,-0.545455,-0.0,-0.036364,0,constant
4,1.745455,0.0,2.5,4.75,4.95,0.163636,15.586,-0.018182,0.0,0.0,0,constant
5,0.818182,0.0,2.5,4.75,4.95,0.290909,296.266,0.018182,0.0,0.0,0,constant
1,5.345455,0.0,7.344,22.837,24.826,2.236364,326.23,0.327273,-0.03,0.072727,0,constant
0,9.036364,0.0,2.5,4.75,4.95,0.927273,17.438,0.363636,-0.0,0.072727,0,constant
2,27.454545,0.066225,4.012,31.324,49.088,7.739971,87.315,0.109091,-0.676,0.392498,0,constant
3,0.836364,0.0,17.667,24.553,38.0,0.963636,316.211,0.0,0.303,0.090909,0,constant
6,6.654545,0.0,2.507,4.762,4.963,0.909091,20.262,0.436364,0.012,0.090909,0,constant
4,1.854545,0.0,2.5,4.75,4.95,0.163636,15.586,0.109091,0.0,0.0,0,constant
5,0.872727,0.0,2.5,4.75,4.95,0.290909,296.266,0.054545,0.0,0.0,0,constant
1,5.327273,0.0,6.793,22.503,24.616,2.036364,326.23,-0.018182,-0.334,-0.2,0,constant
0,8.909091,0.0,2.505,4.76,4.96,0.872727,17.438,-0.127273,0.01,-0.054545,0,constant
2,27.545455,0.066007,3.995,29.302,48.977,7.570158,90.214,0.090909,-2.022,-0.169813,0,constant
3,0.890909,0.0,17.656,24.25,24.85,1.036364,316.211,0.054545,-0.303,0.072727,0,constant
6,7.2,0.0,2.506,4.762,4.962,1.0,20.262,0.545455,-0.001,0.090909,0,constant
4,1.927273,0.0,2.5,4.75,4.95,0.163636,15.586,0.072727,0.0,-0.0,0,constant
5,0.890909,0.0,2.5,4.75,4.95,0.309091,296.266,0.018182,0.0,0.018182,0,constant
1,5.563636,0.0,6.85,22.45,24.49,2.109091,326.23,0.236364,-0.053,0.072727,0,constant
0,9.127273,0.0,2.51,4.77,4.97,0.890909,17.438,0.218182,0.01,0.018182,0,constant
2,27.654545,0.0,3.949,30.218,47.904,7.776785,90.256,0.109091,0.916,0.206627,0,constant
3,0.927273,0.0,17.5,24.25,24.85,0.981818,316.211,0.036364,0.0,-0.054545,0,constant
6,7.527273,0.0,2.5,4.75,4.95,0.963636,20.262,0.327273,-0.012,-0.036364,0,constant
4,1.963636,0.0,2.5,4.75,4.95,0.181818,15.586,0.036364,0.0,0.018182,0,constant
5,0.945455,0.0,2.5,4.75,4.95,0.309091,296.266,0.054545,0.0,0.0,0,constant
1,5.218182,0.0,6.855,22.768,24.843,2.036364,326.23,-0.345455,0.318,-0.072727,0,constant
0,8.472727,0.0,2.505,4.76,4.96,0.854545,17.438,-0.654545,-0.01,-0.036364,0,constant
2,27.509091,0.0,3.883,29.986,47.376,7.335087,88.188,-0.145455,-0.232,-0.441698,0,constant
3,0.909091,0.0,17.5,24.25,24.85,0.981818,316.215,-0.018182,0.0,-0.0,0,constant
6,7.2,0.0,2.5,4.75,4.95,0.963636,20.262,-0.327273,0.0,0.0,0,constant
4,1.927273,0.0,2.5,4.75,4.95,0.163636,15.586,-0.036364,0.0,-0.018182,0,constant
5,0.945455,0.0,2.5,4.75,4.95,0.290909,296.266,0.0,0.0,-0.018182,0,constant
1,5.381818,0.0,6.667,22.6,24.82,2.090909,326.23,0.163636,-0.168,0.054545,0,constant
0,8.763636,0.0,2.5,4.75,4.95,0.872727,17.438,0.290909,-0.01,0.018182,0,constant
2,27.727273,0.0,3.975,29.464,49.269,7.466245,89.275,0.218182,-0.521,0.131158,0,constant
3,0.945455,0.0,17.5,24.25,24.85,0.981818,316.215,0.036364,0.0,0.0,0,constant
6,7.418182,0.0,2.5,4.75,4.95,0.945455,20.262,0.218182,0.0,-0.018182,0,constant
4,1.945455,0.0,2.5,4.75,4.95,0.181818,15.586,0.018182,0.0,0.018182,0,constant
5,0.818182,0.0,2.5,4.75,4.95,0.272727,296.266,-0.127273,0.0,-0.018182,0,constant
1,5.345455,0.0,7.228,22.577,24.515,2.072727,326.234,-0.036364,-0.023,-0.018182,0,constant
0,8.8,0.0,2.5,4.75,4.95,0.836364,17.438,0.036364,0.0,-0.036364,0,constant
2,27.490909,0.066138,3.881,29.079,48.974,7.434551,89.291,-0.236364,-0.385,-0.031695,0,constant
3,0.8,0.0,17.5,24.25,24.85,0.945455,316.215,-0.145455,0.0,-0.036364,0,constant
6,6.654545,0.0,2.507,4.763,4.963,0.909091,20.262,-0.763636,0.013,-0.036364,0,constant
4,1.836364,0.0,2.5,4.75,4.95,0.163636,15.586,-0.109091,0.0,-0.018182,0,constant
5,0.8,0.0,2.5,4.75,4.95,0.290909,296.266,-0.018182,-0.0,0.018182,0,constant
1,5.472727,0.0,7.453,22.648,24.53,2.054545,326.234,0.127273,0.072,-0.018182,0,constant
0,8.872727,0.0,2.505,4.76,4.96,0.854545,17.438,0.072727,0.01,0.018182,0,constant
2,27.436364,0.066269,3.885,26.954,48.208,7.293544,89.207,-0.054545,-2.125,-0.141007,0,constant
3,0.781818,0.0,17.5,24.25,24.85,0.945455,316.215,-0.018182,0.0,0.0,0,constant
6,6.654545,0.0,2.507,4.763,4.963,0.890909,20.262,0.0,-0.0,-0.018182,0,constant
4,1.818182,0.0,2.5,4.75,4.95,0.145455,15.586,-0.018182,-0.0,-0.018182,0,constant
5,0.836364,0.0,2.5,4.75,4.95,0.254545,296.266,0.036364,0.0,-0.036364,0,constant
1,5.454545,0.0,7.33,22.632,24.526,2.018182,326.234,-0.018182,-0.017,-0.036364,0,constant
0,8.672727,0.0,2.5,4.75,4.95,0.836364,17.438,-0.2,-0.01,-0.018182,0,constant
2,27.327273,0.0,3.87,25.337,49.194,7.130998,89.539,-0.109091,-1.617,-0.162545,0,constant
3,0.836364,0.0,17.5,24.25,24.85,0.927273,316.215,0.054545,0.0,-0.018182,0,constant
6,6.654545,0.0,2.5,4.75,4.95,0.890909,20.262,0.0,-0.013,0.0,0,constant
4,1.818182,0.0,2.5,4.75,4.95,0.163636,15.586,0.0,0.0,0.018182,0,constant
5,0.8,0.0,2.5,4.75,4.95,0.290909,296.266,-0.036364,-0.0,0.036364,0,constant
1,5.2,0.0,7.101,22.476,24.495,1.981818,326.234,-0.254545,-0.155,-0.036364,0,constant
0,8.309091,0.0,2.505,4.76,4.961,0.8,17.438,-0.363636,0.01,-0.036364,0,constant
2,27.363636,0.0,3.82,25.634,47.446,7.009044,88.261,0.036364,0.297,-0.121955,0,constant
3,0.818182,0.0,17.5,24.25,24.85,0.890909,316.215,-0.018182,0.0,-0.036364,0,constant
6,6.545455,0.0,2.5,4.75,4.95,0.836364,20.262,-0.109091,0.0,-0.054545,0,constant
4,1.818182,0.0,2.5,4.75,4.95,0.163636,15.586,0.0,0.0,0.0,0,constant
5,0.727273,0.0,2.5,4.75,4.95,0.290909,296.266,-0.072727,0.0,0.0,0,constant
1,4.745455,0.0,7.631,22.918,24.584,2.018182,326.234,-0.454545,0.441,0.036364,0,constant
0,8.6,0.0,2.505,4.76,4.96,0.836364,17.438,0.290909,-0.0,0.036364,0,constant
2,27.236364,0.0,3.818,25.039,48.445,7.022087,88.863,-0.127273,-0.595,0.013044,1,constant
3,0.745455,0.0,17.5,24.25,24.85,0.818182,316.215,-0.072727,0.0,-0.072727,0,constant
6,6.0,0.0,2.508,4.765,4.965,0.781818,20.262,-0.545455,0.015,-0.054545,0,constant
4,1.709091,0.0,2.5,4.75,4.95,0.181818,15.586,-0.109091,0.0,0.018182,0,constant
5,0.763636,0.0,2.5,4.75,4.95,0.254545,296.266,0.036364,0.0,-0.036364,0,constant
1,5.127273,0.0,8.611,24.446,42.95,2.272727,326.234,0.381818,1.528,0.254545,0,constant
0,8.818182,0.0,2.5,4.75,4.95,0.854545,17.438,0.218182,-0.01,0.018182,0,constant
2,27.290909,0.066622,3.877,32.17,49.422,7.546965,89.87,0.054545,7.13,0.524878,1,constant
3,0.8,0.0,17.5,24.25,24.85,0.909091,316.215,0.054545,0.0,0.090909,0,constant
6,6.109091,0.0,2.507,4.764,4.965,0.836364,20.262,0.109091,-0.0,0.054545,0,constant
4,1.745455,0.0,2.5,4.75,4.95,0.145455,15.586,0.036364,0.0,-0.036364,0,constant
5,0.763636,0.0,2.5,4.75,4.95,0.254545,296.266,0.0,-0.0,0.0,0,constant
1,5.636364,0.0,9.267,24.602,43.25,2.436364,326.234,0.509091,0.156,0.163636,0,constant
0,8.763636,0.0,2.51,4.77,4.971,0.854545,17.438,-0.054545,0.02,0.0,0,constant
2,27.181818,0.06689,3.901,36.44,49.788,7.754307,88.795,-0.109091,4.27,0.207342,0,constant
3,0.763636,0.0,17.5,24.25,24.85,0.909091,316.215,-0.036364,0.0,0.0,0,constant
6,6.436364,0.0,2.5,4.75,4.95,0.854545,20.262,0.327273,-0.014,0.018182,0,constant
4,1.727273,0.0,2.5,4.75,4.95,0.163636,15.586,-0.018182,0.0,0.018182,0,constant
5,0.636364,0.0,2.5,4.75,4.95,0.254545,296.266,-0.127273,0.0,0.0,0,constant
1,5.0,0.0,9.57,23.644,24.913,2.127273,326.234,-0.636364,-0.958,-0.309091,0,constant
0,9.109091,0.0,2.51,4.769,4.97,0.890909,17.438,0.345455,-0.001,0.036364,0,constant
2,27.054545,0.067204,3.957,34.186,69.692,7.258062,88.581,-0.127273,-2.254,-0.496245,0,constant
3,0.636364,0.0,17.5,24.25,24.85,0.8,316.215,-0.127273,0.0,-0.109091,0,constant
6,5.890909,0.0,2.5,4.75,4.95,0.781818,20.262,-0.545455,0.0,-0.072727,0,constant
4,1.672727,0.0,2.5,4.75,4.95,0.145455,15.586,-0.054545,0.0,-0.018182,0,constant
5,0.763636,0.0,2.5,4.75,4.95,0.272727,296.266,0.127273,0.0,0.018182,0,constant
1,5.327273,0.0,8.464,23.242,24.648,2.2,326.238,0.327273,-0.402,0.072727,0,constant
0,9.290909,0.0,2.505,4.759,4.96,0.927273,17.438,0.181818,-0.01,0.036364,0,constant
2,27.381818,0.0,4.014,28.849,48.664,7.689584,87.967,0.327273,-5.337,0.431522,0,constant
3,0.745455,0.0,17.5,24.25,24.85,0.945455,316.219,0.109091,0.0,0.145455,0,constant
6,6.654545,0.0,2.5,4.75,4.95,0.909091,20.262,0.763636,0.0,0.127273,0,constant
4,1.836364,0.0,2.5,4.75,4.95,0.181818,15.586,0.163636,0.0,0.036364,0,constant
5,0.818182,0.0,2.5,4.75,4.95,0.254545,296.266,0.054545,-0.0,-0.018182,0,constant
1,5.163636,0.0,8.493,23.921,38.167,2.109091,326.238,-0.163636,0.679,-0.090909,0,constant
0,8.636364,0.0,2.5,4.75,4.95,0.872727,17.438,-0.654545,-0.009,-0.054545,0,constant
2,27.272727,0.0,3.83,27.597,47.078,7.445953,90.061,-0.109091,-1.251,-0.243631,0,constant
3,0.8,0.0,17.5,24.25,24.85,0.854545,316.219,0.054545,0.0,-0.090909,0,constant
6,6.218182,0.0,2.507,4.764,4.965,0.8,20.262,-0.436364,0.014,-0.109091,0,constant
4,1.727273,0.0,2.5,4.75,4.95,0.163636,15.586,-0.109091,-0.0,-0.018182,0,constant
5,0.745455,0.0,2.5,4.75,4.95,0.272727,296.266,-0.072727,0.0,0.018182,0,constant
1,4.527273,0.0,7.736,23.862,39.625,1.818182,326.238,-0.636364,-0.059,-0.290909,0,constant
0,7.909091,0.0,2.506,4.761,4.962,0.763636,17.438,-0.727273,0.011,-0.109091,0,constant
2,27.163636,0.0,3.694,28.433,48.353,7.162995,88.375,-0.109091,0.836,-0.282958,0,constant
3,0.745455,0.0,17.5,24.25,24.85,0.836364,316.223,-0.054545,0.0,-0.018182,0,constant
6,6.0,0.0,2.508,4.764,4.965,0.818182,20.262,-0.218182,0.0,0.018182,0,constant
4,1.727273,0.0,2.5,4.75,4.95,0.163636,15.586,0.0,0.0,-0.0,0,constant
5,0.836364,0.0,2.5,4.75,4.95,0.290909,296.266,0.090909,0.0,0.018182,0,constant
1,4.872727,0.0,7.961,23.176,24.753,2.145455,326.238,0.345455,-0.685,0.327273,0,constant
0,7.945455,0.0,2.5,4.75,4.95,0.8,17.438,0.036364,-0.011,0.036364,0,constant
2,27.345455,0.0,3.723,32.528,49.427,7.336576,88.993,0.181818,4.095,0.173582,0,constant
3,0.836364,0.0,17.5,24.25,24.85,0.909091,316.223,0.090909,0.0,0.072727,0,constant
6,6.545455,0.0,2.5,4.75,4.95,0.890909,20.262,0.545455,-0.014,0.072727,0,constant
4,1.745455,0.0,2.5,4.75,4.95,0.163636,15.586,0.018182,0.0,0.0,0,constant
5,0.781818,0.0,2.5,4.75,4.95,0.254545,296.266,-0.054545,-0.0,-0.036364,0,constant
1,5.381818,0.0,8.506,23.331,24.763,2.181818,326.238,0.509091,0.154,0.036364,0,constant
0,8.745455,0.0,2.5,4.75,4.95,0.872727,17.438,0.8,0.0,0.072727,0,constant
2,27.454545,0.066225,3.892,30.147,47.912,7.634167,88.955,0.109091,-2.381,0.297591,0,constant
3,0.8,0.0,17.5,24.25,24.85,0.872727,316.227,-0.036364,0.0,-0.036364,0,constant
6,6.545455,0.0,2.5,4.75,4.95,0.854545,20.262,0.0,0.0,-0.036364,0,constant
4,1.763636,0.0,2.5,4.75,4.95,0.145455,15.586,0.018182,-0.0,-0.018182,0,constant
5,0.490909,0.0,2.5,4.75,4.95,0.218182,296.266,-0.290909,0.0,-0.036364,0,constant
1,4.490909,0.0,9.28,23.375,24.675,1.945455,326.238,-0.890909,0.044,-0.236364,0,constant
0,8.927273,0.0,2.5,4.75,4.95,0.872727,17.438,0.181818,-0.0,0.0,0,constant
2,26.872727,0.067659,3.802,24.523,45.854,6.982956,88.57,-0.581818,-5.624,-0.651211,0,constant
3,0.490909,0.0,17.5,24.25,24.85,0.690909,316.227,-0.309091,0.0,-0.181818,0,constant
6,4.909091,0.0,2.5,4.75,4.95,0.654545,20.262,-1.636364,0.0,-0.2,0,constant
4,1.527273,0.0,2.5,4.75,4.95,0.145455,15.586,-0.236364,0.0,0.0,0,constant
5,0.4,0.0,2.5,4.75,4.95,0.218182,296.266,-0.090909,0.0,0.0,0,constant
1,3.218182,0.0,8.578,23.206,24.641,1.236364,326.238,-1.272727,-0.169,-0.709091,0,constant
0,6.963636,0.0,2.5,4.75,4.95,0.6,17.562,-1.963636,0.0,-0.272727,0,constant
2,19.327273,0.0,3.738,24.104,45.206,5.778911,89.661,-7.545455,-0.418,-1.204045,0,constant
3,0.4,0.0,17.5,24.25,24.85,0.527273,316.215,-0.090909,0.0,-0.163636,0,constant
6,4.036364,0.0,2.5,4.75,4.95,0.527273,20.262,-0.872727,0.0,-0.127273,0,constant
4,1.345455,0.0,2.5,4.75,4.95,0.145455,15.586,-0.181818,0.0,0.0,0,constant
5,0.163636,0.0,2.5,4.75,4.95,0.2,296.266,-0.236364,0.0,-0.018182,0,constant
1,0.781818,0.0,6.25,20.969,24.13,0.345455,326.238,-2.436364,-2.237,-0.890909,0,constant
0,2.6,0.0,2.5,4.75,4.95,0.236364,17.562,-4.363636,0.0,-0.363636,0,constant
2,5.054545,0.0,3.564,21.312,41.313,2.048813,90.29,-14.272727,-2.792,-3.730098,0,constant
3,0.145455,0.0,17.5,24.25,24.85,0.272727,316.215,-0.254545,0.0,-0.254545,0,constant
6,2.072727,0.0,2.5,4.75,4.95,0.290909,20.262,-1.963636,-0.0,-0.236364,0,constant
4,1.018182,0.0,2.5,4.75,4.95,0.127273,15.586,-0.327273,0.0,-0.018182,0,constant
1,0.0,0.0,0.0,0.0,0.0,0.163636,326.238,0.0,0.0,0.0,0,constant
5,0.0,0.0,0.0,0.0,0.0,0.181818,296.266,0.0,0.0,0.0,0,constant
2,0.672727,0.0,2.5,4.75,4.95,0.959302,81.253,0.0,0.0,0.0,0,constant
4,0.890909,0.0,2.5,4.75,4.95,0.127273,15.586,0.0,0.0,0.0,0,constant
0,0.872727,0.0,2.5,4.75,4.95,0.109091,17.562,0.0,0.0,0.0,0,constant
3,0.0,0.0,0.0,0.0,0.0,0.2,316.215,0.0,0.0,0.0,0,constant
6,0.872727,0.0,2.5,4.75,4.95,0.2,20.262,0.0,0.0,0.0,0,constant
1,0.0,0.0,0.0,0.0,0.0,0.181818,326.238,0.0,0.0,0.018182,0,constant
5,0.0,0.0,0.0,0.0,0.0,0.181818,296.266,0.0,0.0,0.0,0,constant
2,0.672727,0.0,2.5,4.75,4.95,0.846067,82.188,0.0,0.0,-0.113235,1,constant
4,0.890909,0.0,2.5,4.75,4.95,0.109091,15.586,0.0,0.0,-0.018182,0,constant
0,0.854545,0.0,2.5,4.75,4.95,0.109091,17.562,-0.018182,0.0,0.0,0,constant
3,0.0,0.0,0.0,0.0,0.0,0.2,316.215,0.0,0.0,0.0,0,constant
6,0.872727,0.0,2.5,4.75,4.95,0.2,20.262,0.0,0.0,0.0,0,constant
1,0.0,0.0,0.0,0.0,0.0,0.163636,326.238,0.0,0.0,-0.018182,0,constant
5,0.0,0.0,0.0,0.0,0.0,0.181818,296.266,0.0,0.0,0.0,0,constant
2,0.672727,0.0,2.5,4.75,4.95,0.837407,83.206,0.0,0.0,-0.00866,1,constant
4,0.890909,0.0,2.5,4.75,4.95,0.127273,15.586,0.0,0.0,0.018182,0,constant
0,0.854545,0.0,2.5,4.75,4.95,0.109091,17.562,0.0,0.0,0.0,0,constant
3,0.0,0.0,0.0,0.0,0.0,0.218182,316.215,0.0,0.0,0.018182,0,constant
6,0.872727,0.0,2.5,4.75,4.95,0.2,20.262,0.0,0.0,0.0,0,constant
1,2.145455,0.0,4.097,23.904,48.5,1.181818,326.238,2.145455,0.0,1.018182,0,constant
5,0.145455,0.0,2.5,4.75,4.95,0.2,296.266,0.145455,0.0,0.018182,0,constant
